postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front cover,master/4245_0000.tif,web/4245_0000_web.jpg,thumb/4245_0000_thumb.jpg
2,Inside front cover,master/4245_0001.tif,web/4245_0001_web.jpg,thumb/4245_0001_thumb.jpg
3,1r,master/4245_0002.tif,web/4245_0002_web.jpg,thumb/4245_0002_thumb.jpg
4,1v,master/4245_0003.tif,web/4245_0003_web.jpg,thumb/4245_0003_thumb.jpg
5,2r,master/4245_0004.tif,web/4245_0004_web.jpg,thumb/4245_0004_thumb.jpg
6,2v,master/4245_0005.tif,web/4245_0005_web.jpg,thumb/4245_0005_thumb.jpg
7,3r,master/4245_0006.tif,web/4245_0006_web.jpg,thumb/4245_0006_thumb.jpg
8,3v,master/4245_0007.tif,web/4245_0007_web.jpg,thumb/4245_0007_thumb.jpg
9,4r,master/4245_0008.tif,web/4245_0008_web.jpg,thumb/4245_0008_thumb.jpg
10,4v,master/4245_0009.tif,web/4245_0009_web.jpg,thumb/4245_0009_thumb.jpg
11,5r,master/4245_0010.tif,web/4245_0010_web.jpg,thumb/4245_0010_thumb.jpg
12,5v,master/4245_0011.tif,web/4245_0011_web.jpg,thumb/4245_0011_thumb.jpg
13,6r,master/4245_0012.tif,web/4245_0012_web.jpg,thumb/4245_0012_thumb.jpg
14,6v,master/4245_0013.tif,web/4245_0013_web.jpg,thumb/4245_0013_thumb.jpg
15,7r,master/4245_0014.tif,web/4245_0014_web.jpg,thumb/4245_0014_thumb.jpg
16,7v,master/4245_0015.tif,web/4245_0015_web.jpg,thumb/4245_0015_thumb.jpg
17,8r,master/4245_0016.tif,web/4245_0016_web.jpg,thumb/4245_0016_thumb.jpg
18,8v,master/4245_0017.tif,web/4245_0017_web.jpg,thumb/4245_0017_thumb.jpg
19,9r,master/4245_0018.tif,web/4245_0018_web.jpg,thumb/4245_0018_thumb.jpg
20,9v,master/4245_0019.tif,web/4245_0019_web.jpg,thumb/4245_0019_thumb.jpg
21,10r,master/4245_0020.tif,web/4245_0020_web.jpg,thumb/4245_0020_thumb.jpg
22,10v,master/4245_0021.tif,web/4245_0021_web.jpg,thumb/4245_0021_thumb.jpg
23,11r,master/4245_0022.tif,web/4245_0022_web.jpg,thumb/4245_0022_thumb.jpg
24,11v,master/4245_0023.tif,web/4245_0023_web.jpg,thumb/4245_0023_thumb.jpg
25,12r,master/4245_0024.tif,web/4245_0024_web.jpg,thumb/4245_0024_thumb.jpg
26,12v,master/4245_0025.tif,web/4245_0025_web.jpg,thumb/4245_0025_thumb.jpg
27,13r,master/4245_0026.tif,web/4245_0026_web.jpg,thumb/4245_0026_thumb.jpg
28,13v,master/4245_0027.tif,web/4245_0027_web.jpg,thumb/4245_0027_thumb.jpg
29,14r,master/4245_0028.tif,web/4245_0028_web.jpg,thumb/4245_0028_thumb.jpg
30,14v,master/4245_0029.tif,web/4245_0029_web.jpg,thumb/4245_0029_thumb.jpg
31,15r,master/4245_0030.tif,web/4245_0030_web.jpg,thumb/4245_0030_thumb.jpg
32,15v,master/4245_0031.tif,web/4245_0031_web.jpg,thumb/4245_0031_thumb.jpg
33,16r,master/4245_0032.tif,web/4245_0032_web.jpg,thumb/4245_0032_thumb.jpg
34,16v,master/4245_0033.tif,web/4245_0033_web.jpg,thumb/4245_0033_thumb.jpg
35,17r,master/4245_0034.tif,web/4245_0034_web.jpg,thumb/4245_0034_thumb.jpg
36,17v,master/4245_0035.tif,web/4245_0035_web.jpg,thumb/4245_0035_thumb.jpg
37,18r,master/4245_0036.tif,web/4245_0036_web.jpg,thumb/4245_0036_thumb.jpg
38,18v,master/4245_0037.tif,web/4245_0037_web.jpg,thumb/4245_0037_thumb.jpg
