postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,"Folder 66, 1r",master/1735_0000.tif,web/1735_0000_web.jpg,thumb/1735_0000_thumb.jpg
2,"Folder 66, 1v",master/1735_0001.tif,web/1735_0001_web.jpg,thumb/1735_0001_thumb.jpg
3,"Folder 66, 2r",master/1735_0002.tif,web/1735_0002_web.jpg,thumb/1735_0002_thumb.jpg
4,"Folder 66, 2v",master/1735_0003.tif,web/1735_0003_web.jpg,thumb/1735_0003_thumb.jpg
5,"Folder 66, 3r",master/1735_0004.tif,web/1735_0004_web.jpg,thumb/1735_0004_thumb.jpg
6,"Folder 66, 3v",master/1735_0005.tif,web/1735_0005_web.jpg,thumb/1735_0005_thumb.jpg
7,"Folder 66, 4r",master/1735_0006.tif,web/1735_0006_web.jpg,thumb/1735_0006_thumb.jpg
8,"Folder 66, 4v",master/1735_0007.tif,web/1735_0007_web.jpg,thumb/1735_0007_thumb.jpg
9,"Folder 66, 5r",master/1735_0008.tif,web/1735_0008_web.jpg,thumb/1735_0008_thumb.jpg
10,"Folder 66, 5v",master/1735_0009.tif,web/1735_0009_web.jpg,thumb/1735_0009_thumb.jpg
11,"Folder 66, 6r",master/1735_0010.tif,web/1735_0010_web.jpg,thumb/1735_0010_thumb.jpg
12,"Folder 66, 6v",master/1735_0011.tif,web/1735_0011_web.jpg,thumb/1735_0011_thumb.jpg
13,"Folder 66, 7r",master/1735_0012.tif,web/1735_0012_web.jpg,thumb/1735_0012_thumb.jpg
14,"Folder 66, 7v",master/1735_0013.tif,web/1735_0013_web.jpg,thumb/1735_0013_thumb.jpg
15,"Folder 66, 8r",master/1735_0014.tif,web/1735_0014_web.jpg,thumb/1735_0014_thumb.jpg
16,"Folder 66, 8v",master/1735_0015.tif,web/1735_0015_web.jpg,thumb/1735_0015_thumb.jpg
17,"Folder 66, 9r",master/1735_0016.tif,web/1735_0016_web.jpg,thumb/1735_0016_thumb.jpg
18,"Folder 66, 9v",master/1735_0017.tif,web/1735_0017_web.jpg,thumb/1735_0017_thumb.jpg
19,"Folder 66, 10r",master/1735_0018.tif,web/1735_0018_web.jpg,thumb/1735_0018_thumb.jpg
20,"Folder 66, 10v",master/1735_0019.tif,web/1735_0019_web.jpg,thumb/1735_0019_thumb.jpg
21,"Folder 66, 11r",master/1735_0020.tif,web/1735_0020_web.jpg,thumb/1735_0020_thumb.jpg
22,"Folder 66, 11v",master/1735_0021.tif,web/1735_0021_web.jpg,thumb/1735_0021_thumb.jpg
23,"Folder 66, 12r",master/1735_0022.tif,web/1735_0022_web.jpg,thumb/1735_0022_thumb.jpg
24,"Folder 66, 12v",master/1735_0023.tif,web/1735_0023_web.jpg,thumb/1735_0023_thumb.jpg
25,"Folder 66, 13r",master/1735_0024.tif,web/1735_0024_web.jpg,thumb/1735_0024_thumb.jpg
26,"Folder 66, 13v",master/1735_0025.tif,web/1735_0025_web.jpg,thumb/1735_0025_thumb.jpg
27,"Folder 66, 14r",master/1735_0026.tif,web/1735_0026_web.jpg,thumb/1735_0026_thumb.jpg
28,"Folder 66, 14v",master/1735_0027.tif,web/1735_0027_web.jpg,thumb/1735_0027_thumb.jpg
29,"Folder 66, 15r",master/1735_0028.tif,web/1735_0028_web.jpg,thumb/1735_0028_thumb.jpg
30,"Folder 66, 15v",master/1735_0029.tif,web/1735_0029_web.jpg,thumb/1735_0029_thumb.jpg
31,"Folder 66, 16r",master/1735_0030.tif,web/1735_0030_web.jpg,thumb/1735_0030_thumb.jpg
32,"Folder 66, 16v",master/1735_0031.tif,web/1735_0031_web.jpg,thumb/1735_0031_thumb.jpg
33,"Folder 66, 17r",master/1735_0032.tif,web/1735_0032_web.jpg,thumb/1735_0032_thumb.jpg
34,"Folder 66, 17v",master/1735_0033.tif,web/1735_0033_web.jpg,thumb/1735_0033_thumb.jpg
35,"Folder 66, 18r",master/1735_0034.tif,web/1735_0034_web.jpg,thumb/1735_0034_thumb.jpg
36,"Folder 66, 18v",master/1735_0035.tif,web/1735_0035_web.jpg,thumb/1735_0035_thumb.jpg
37,"Folder 66, 19r",master/1735_0036.tif,web/1735_0036_web.jpg,thumb/1735_0036_thumb.jpg
38,"Folder 66, 19v",master/1735_0037.tif,web/1735_0037_web.jpg,thumb/1735_0037_thumb.jpg
39,"Folder 66, 20r",master/1735_0038.tif,web/1735_0038_web.jpg,thumb/1735_0038_thumb.jpg
40,"Folder 66, 20v",master/1735_0039.tif,web/1735_0039_web.jpg,thumb/1735_0039_thumb.jpg
41,"Folder 66, 21r",master/1735_0040.tif,web/1735_0040_web.jpg,thumb/1735_0040_thumb.jpg
42,"Folder 66, 21v",master/1735_0041.tif,web/1735_0041_web.jpg,thumb/1735_0041_thumb.jpg
43,"Folder 66, 22r",master/1735_0042.tif,web/1735_0042_web.jpg,thumb/1735_0042_thumb.jpg
44,"Folder 66, 22v",master/1735_0043.tif,web/1735_0043_web.jpg,thumb/1735_0043_thumb.jpg
45,"Folder 66, 23r",master/1735_0044.tif,web/1735_0044_web.jpg,thumb/1735_0044_thumb.jpg
46,"Folder 66, 23v",master/1735_0045.tif,web/1735_0045_web.jpg,thumb/1735_0045_thumb.jpg
47,"Folder 66, 24r",master/1735_0046.tif,web/1735_0046_web.jpg,thumb/1735_0046_thumb.jpg
48,"Folder 66, 24v",master/1735_0047.tif,web/1735_0047_web.jpg,thumb/1735_0047_thumb.jpg
49,"Folder 66, 25r",master/1735_0048.tif,web/1735_0048_web.jpg,thumb/1735_0048_thumb.jpg
50,"Folder 66, 25v",master/1735_0049.tif,web/1735_0049_web.jpg,thumb/1735_0049_thumb.jpg
51,"Folder 66, 26r",master/1735_0050.tif,web/1735_0050_web.jpg,thumb/1735_0050_thumb.jpg
52,"Folder 66, 26v",master/1735_0051.tif,web/1735_0051_web.jpg,thumb/1735_0051_thumb.jpg
53,"Folder 66, 27r",master/1735_0052.tif,web/1735_0052_web.jpg,thumb/1735_0052_thumb.jpg
54,"Folder 66, 27v",master/1735_0053.tif,web/1735_0053_web.jpg,thumb/1735_0053_thumb.jpg
55,"Folder 66, 28r",master/1735_0054.tif,web/1735_0054_web.jpg,thumb/1735_0054_thumb.jpg
56,"Folder 66, 28v",master/1735_0055.tif,web/1735_0055_web.jpg,thumb/1735_0055_thumb.jpg
57,"Folder 66, 29r",master/1735_0056.tif,web/1735_0056_web.jpg,thumb/1735_0056_thumb.jpg
58,"Folder 66, 29v",master/1735_0057.tif,web/1735_0057_web.jpg,thumb/1735_0057_thumb.jpg
59,"Folder 66, 30r",master/1735_0058.tif,web/1735_0058_web.jpg,thumb/1735_0058_thumb.jpg
60,"Folder 66, 30v",master/1735_0059.tif,web/1735_0059_web.jpg,thumb/1735_0059_thumb.jpg
61,"Folder 67, 1r",master/1735_0060.tif,web/1735_0060_web.jpg,thumb/1735_0060_thumb.jpg
62,"Folder 67, 1v",master/1735_0061.tif,web/1735_0061_web.jpg,thumb/1735_0061_thumb.jpg
63,"Folder 67, 2r",master/1735_0062.tif,web/1735_0062_web.jpg,thumb/1735_0062_thumb.jpg
64,"Folder 67, 2v",master/1735_0063.tif,web/1735_0063_web.jpg,thumb/1735_0063_thumb.jpg
65,"Folder 67, 3r",master/1735_0064.tif,web/1735_0064_web.jpg,thumb/1735_0064_thumb.jpg
66,"Folder 67, 3v",master/1735_0065.tif,web/1735_0065_web.jpg,thumb/1735_0065_thumb.jpg
67,"Folder 67, 4r",master/1735_0066.tif,web/1735_0066_web.jpg,thumb/1735_0066_thumb.jpg
68,"Folder 67, 4v",master/1735_0067.tif,web/1735_0067_web.jpg,thumb/1735_0067_thumb.jpg
69,"Folder 67, 5r",master/1735_0068.tif,web/1735_0068_web.jpg,thumb/1735_0068_thumb.jpg
70,"Folder 67, 5v",master/1735_0069.tif,web/1735_0069_web.jpg,thumb/1735_0069_thumb.jpg
71,"Folder 67, 6r",master/1735_0070.tif,web/1735_0070_web.jpg,thumb/1735_0070_thumb.jpg
72,"Folder 67, 6v",master/1735_0071.tif,web/1735_0071_web.jpg,thumb/1735_0071_thumb.jpg
73,"Folder 67, 7r",master/1735_0072.tif,web/1735_0072_web.jpg,thumb/1735_0072_thumb.jpg
74,"Folder 67, 7v",master/1735_0073.tif,web/1735_0073_web.jpg,thumb/1735_0073_thumb.jpg
75,"Folder 67, 8r",master/1735_0074.tif,web/1735_0074_web.jpg,thumb/1735_0074_thumb.jpg
76,"Folder 67, 8v",master/1735_0075.tif,web/1735_0075_web.jpg,thumb/1735_0075_thumb.jpg
77,"Folder 67, 9r",master/1735_0076.tif,web/1735_0076_web.jpg,thumb/1735_0076_thumb.jpg
78,"Folder 67, 9v",master/1735_0077.tif,web/1735_0077_web.jpg,thumb/1735_0077_thumb.jpg
79,"Folder 67, 10r",master/1735_0078.tif,web/1735_0078_web.jpg,thumb/1735_0078_thumb.jpg
80,"Folder 67, 10v",master/1735_0079.tif,web/1735_0079_web.jpg,thumb/1735_0079_thumb.jpg
81,"Folder 67, 11r",master/1735_0080.tif,web/1735_0080_web.jpg,thumb/1735_0080_thumb.jpg
82,"Folder 67, 11v",master/1735_0081.tif,web/1735_0081_web.jpg,thumb/1735_0081_thumb.jpg
83,"Folder 67, 12r",master/1735_0082.tif,web/1735_0082_web.jpg,thumb/1735_0082_thumb.jpg
84,"Folder 67, 12v",master/1735_0083.tif,web/1735_0083_web.jpg,thumb/1735_0083_thumb.jpg
85,"Folder 67, 13r",master/1735_0084.tif,web/1735_0084_web.jpg,thumb/1735_0084_thumb.jpg
86,"Folder 67, 13v",master/1735_0085.tif,web/1735_0085_web.jpg,thumb/1735_0085_thumb.jpg
87,"Folder 67, 14r",master/1735_0086.tif,web/1735_0086_web.jpg,thumb/1735_0086_thumb.jpg
88,"Folder 67, 14v",master/1735_0087.tif,web/1735_0087_web.jpg,thumb/1735_0087_thumb.jpg
89,"Folder 67, 15r",master/1735_0088.tif,web/1735_0088_web.jpg,thumb/1735_0088_thumb.jpg
90,"Folder 67, 15v",master/1735_0089.tif,web/1735_0089_web.jpg,thumb/1735_0089_thumb.jpg
91,"Folder 67, 16r",master/1735_0090.tif,web/1735_0090_web.jpg,thumb/1735_0090_thumb.jpg
92,"Folder 67, 16v",master/1735_0091.tif,web/1735_0091_web.jpg,thumb/1735_0091_thumb.jpg
93,"Folder 67, 17r",master/1735_0092.tif,web/1735_0092_web.jpg,thumb/1735_0092_thumb.jpg
94,"Folder 67, 17v",master/1735_0093.tif,web/1735_0093_web.jpg,thumb/1735_0093_thumb.jpg
95,"Folder 67, 18r",master/1735_0094.tif,web/1735_0094_web.jpg,thumb/1735_0094_thumb.jpg
96,"Folder 67, 18v",master/1735_0095.tif,web/1735_0095_web.jpg,thumb/1735_0095_thumb.jpg
97,"Folder 67, 19r",master/1735_0096.tif,web/1735_0096_web.jpg,thumb/1735_0096_thumb.jpg
98,"Folder 67, 19v",master/1735_0097.tif,web/1735_0097_web.jpg,thumb/1735_0097_thumb.jpg
99,"Folder 67, 20r",master/1735_0098.tif,web/1735_0098_web.jpg,thumb/1735_0098_thumb.jpg
100,"Folder 67, 20v",master/1735_0099.tif,web/1735_0099_web.jpg,thumb/1735_0099_thumb.jpg
101,"Folder 67, 21r",master/1735_0100.tif,web/1735_0100_web.jpg,thumb/1735_0100_thumb.jpg
102,"Folder 67, 21v",master/1735_0101.tif,web/1735_0101_web.jpg,thumb/1735_0101_thumb.jpg
103,"Folder 67, 22r",master/1735_0102.tif,web/1735_0102_web.jpg,thumb/1735_0102_thumb.jpg
104,"Folder 67, 22v",master/1735_0103.tif,web/1735_0103_web.jpg,thumb/1735_0103_thumb.jpg
105,"Folder 67, 23r",master/1735_0104.tif,web/1735_0104_web.jpg,thumb/1735_0104_thumb.jpg
106,"Folder 67, 23v",master/1735_0105.tif,web/1735_0105_web.jpg,thumb/1735_0105_thumb.jpg
107,"Folder 67, 24r",master/1735_0106.tif,web/1735_0106_web.jpg,thumb/1735_0106_thumb.jpg
108,"Folder 67, 24v",master/1735_0107.tif,web/1735_0107_web.jpg,thumb/1735_0107_thumb.jpg
109,"Folder 67, 25r",master/1735_0108.tif,web/1735_0108_web.jpg,thumb/1735_0108_thumb.jpg
110,"Folder 67, 25v",master/1735_0109.tif,web/1735_0109_web.jpg,thumb/1735_0109_thumb.jpg
111,"Folder 67, 26r",master/1735_0110.tif,web/1735_0110_web.jpg,thumb/1735_0110_thumb.jpg
112,"Folder 67, 26v",master/1735_0111.tif,web/1735_0111_web.jpg,thumb/1735_0111_thumb.jpg
113,"Folder 67, 27r",master/1735_0112.tif,web/1735_0112_web.jpg,thumb/1735_0112_thumb.jpg
114,"Folder 67, 27v",master/1735_0113.tif,web/1735_0113_web.jpg,thumb/1735_0113_thumb.jpg
115,"Folder 67, 28r",master/1735_0114.tif,web/1735_0114_web.jpg,thumb/1735_0114_thumb.jpg
116,"Folder 67, 28v",master/1735_0115.tif,web/1735_0115_web.jpg,thumb/1735_0115_thumb.jpg
117,"Folder 67, 29r",master/1735_0116.tif,web/1735_0116_web.jpg,thumb/1735_0116_thumb.jpg
118,"Folder 67, 29v",master/1735_0117.tif,web/1735_0117_web.jpg,thumb/1735_0117_thumb.jpg
119,"Folder 67, 30r",master/1735_0118.tif,web/1735_0118_web.jpg,thumb/1735_0118_thumb.jpg
120,"Folder 67, 30v",master/1735_0119.tif,web/1735_0119_web.jpg,thumb/1735_0119_thumb.jpg
121,"Folder 67, 31r",master/1735_0120.tif,web/1735_0120_web.jpg,thumb/1735_0120_thumb.jpg
122,"Folder 67, 31v",master/1735_0121.tif,web/1735_0121_web.jpg,thumb/1735_0121_thumb.jpg
123,"Folder 67, 32r",master/1735_0122.tif,web/1735_0122_web.jpg,thumb/1735_0122_thumb.jpg
124,"Folder 67, 32v",master/1735_0123.tif,web/1735_0123_web.jpg,thumb/1735_0123_thumb.jpg
125,"Folder 67, 33r",master/1735_0124.tif,web/1735_0124_web.jpg,thumb/1735_0124_thumb.jpg
126,"Folder 67, 33v",master/1735_0125.tif,web/1735_0125_web.jpg,thumb/1735_0125_thumb.jpg
127,"Folder 67, 34r",master/1735_0126.tif,web/1735_0126_web.jpg,thumb/1735_0126_thumb.jpg
128,"Folder 67, 34v",master/1735_0127.tif,web/1735_0127_web.jpg,thumb/1735_0127_thumb.jpg
129,"Folder 67, 35r",master/1735_0128.tif,web/1735_0128_web.jpg,thumb/1735_0128_thumb.jpg
130,"Folder 67, 35v",master/1735_0129.tif,web/1735_0129_web.jpg,thumb/1735_0129_thumb.jpg
131,"Folder 67, 36r",master/1735_0130.tif,web/1735_0130_web.jpg,thumb/1735_0130_thumb.jpg
132,"Folder 67, 36v",master/1735_0131.tif,web/1735_0131_web.jpg,thumb/1735_0131_thumb.jpg
133,"Folder 67, 37r",master/1735_0132.tif,web/1735_0132_web.jpg,thumb/1735_0132_thumb.jpg
134,"Folder 67, 37v",master/1735_0133.tif,web/1735_0133_web.jpg,thumb/1735_0133_thumb.jpg
135,"Folder 67, 38r",master/1735_0134.tif,web/1735_0134_web.jpg,thumb/1735_0134_thumb.jpg
136,"Folder 67, 38v",master/1735_0135.tif,web/1735_0135_web.jpg,thumb/1735_0135_thumb.jpg
137,"Folder 67, 39r",master/1735_0136.tif,web/1735_0136_web.jpg,thumb/1735_0136_thumb.jpg
138,"Folder 67, 39v",master/1735_0137.tif,web/1735_0137_web.jpg,thumb/1735_0137_thumb.jpg
139,"Folder 67, 40r",master/1735_0138.tif,web/1735_0138_web.jpg,thumb/1735_0138_thumb.jpg
140,"Folder 67, 40v",master/1735_0139.tif,web/1735_0139_web.jpg,thumb/1735_0139_thumb.jpg
141,"Folder 67, 41r",master/1735_0140.tif,web/1735_0140_web.jpg,thumb/1735_0140_thumb.jpg
142,"Folder 67, 41v",master/1735_0141.tif,web/1735_0141_web.jpg,thumb/1735_0141_thumb.jpg
143,"Folder 67, 42r",master/1735_0142.tif,web/1735_0142_web.jpg,thumb/1735_0142_thumb.jpg
144,"Folder 67, 42v",master/1735_0143.tif,web/1735_0143_web.jpg,thumb/1735_0143_thumb.jpg
145,"Folder 67, 43r",master/1735_0144.tif,web/1735_0144_web.jpg,thumb/1735_0144_thumb.jpg
146,"Folder 67, 43v",master/1735_0145.tif,web/1735_0145_web.jpg,thumb/1735_0145_thumb.jpg
147,"Folder 67, 44r",master/1735_0146.tif,web/1735_0146_web.jpg,thumb/1735_0146_thumb.jpg
148,"Folder 67, 44v",master/1735_0147.tif,web/1735_0147_web.jpg,thumb/1735_0147_thumb.jpg
149,"Folder 67, 45r",master/1735_0148.tif,web/1735_0148_web.jpg,thumb/1735_0148_thumb.jpg
150,"Folder 67, 45v",master/1735_0149.tif,web/1735_0149_web.jpg,thumb/1735_0149_thumb.jpg
151,"Folder 67, 46r",master/1735_0150.tif,web/1735_0150_web.jpg,thumb/1735_0150_thumb.jpg
152,"Folder 67, 46v",master/1735_0151.tif,web/1735_0151_web.jpg,thumb/1735_0151_thumb.jpg
153,"Folder 67, 47r",master/1735_0152.tif,web/1735_0152_web.jpg,thumb/1735_0152_thumb.jpg
154,"Folder 67, 47v",master/1735_0153.tif,web/1735_0153_web.jpg,thumb/1735_0153_thumb.jpg
155,"Folder 67, 48r",master/1735_0154.tif,web/1735_0154_web.jpg,thumb/1735_0154_thumb.jpg
156,"Folder 67, 48v",master/1735_0155.tif,web/1735_0155_web.jpg,thumb/1735_0155_thumb.jpg
157,"Folder 68, 1r",master/1735_0156.tif,web/1735_0156_web.jpg,thumb/1735_0156_thumb.jpg
158,"Folder 68, 1v",master/1735_0157.tif,web/1735_0157_web.jpg,thumb/1735_0157_thumb.jpg
