postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front Cover,master/11938_0000.tif,web/11938_0000_web.jpg,thumb/11938_0000_thumb.jpg
2,Inside Front Cover,master/11938_0001.tif,web/11938_0001_web.jpg,thumb/11938_0001_thumb.jpg
3,Flyleaf 1,master/11938_0002.tif,web/11938_0002_web.jpg,thumb/11938_0002_thumb.jpg
4,p. 1,master/11938_0003.tif,web/11938_0003_web.jpg,thumb/11938_0003_thumb.jpg
5,p. 2,master/11938_0004.tif,web/11938_0004_web.jpg,thumb/11938_0004_thumb.jpg
6,p. 3,master/11938_0005.tif,web/11938_0005_web.jpg,thumb/11938_0005_thumb.jpg
7,p. 4,master/11938_0006.tif,web/11938_0006_web.jpg,thumb/11938_0006_thumb.jpg
8,p. 5,master/11938_0007.tif,web/11938_0007_web.jpg,thumb/11938_0007_thumb.jpg
9,p. 6,master/11938_0008.tif,web/11938_0008_web.jpg,thumb/11938_0008_thumb.jpg
10,p. 7,master/11938_0009.tif,web/11938_0009_web.jpg,thumb/11938_0009_thumb.jpg
11,p. 8,master/11938_0010.tif,web/11938_0010_web.jpg,thumb/11938_0010_thumb.jpg
12,p. 9,master/11938_0011.tif,web/11938_0011_web.jpg,thumb/11938_0011_thumb.jpg
13,p. 10,master/11938_0012.tif,web/11938_0012_web.jpg,thumb/11938_0012_thumb.jpg
14,p. 11,master/11938_0013.tif,web/11938_0013_web.jpg,thumb/11938_0013_thumb.jpg
15,p. 12,master/11938_0014.tif,web/11938_0014_web.jpg,thumb/11938_0014_thumb.jpg
16,p. 13,master/11938_0015.tif,web/11938_0015_web.jpg,thumb/11938_0015_thumb.jpg
17,p. 14,master/11938_0016.tif,web/11938_0016_web.jpg,thumb/11938_0016_thumb.jpg
18,p. 15,master/11938_0017.tif,web/11938_0017_web.jpg,thumb/11938_0017_thumb.jpg
