postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,1,master/10364_0000.tif,web/10364_0000_web.jpg,thumb/10364_0000_thumb.jpg
2,2,master/10364_0001.tif,web/10364_0001_web.jpg,thumb/10364_0001_thumb.jpg
3,3,master/10364_0002.tif,web/10364_0002_web.jpg,thumb/10364_0002_thumb.jpg
4,4,master/10364_0003.tif,web/10364_0003_web.jpg,thumb/10364_0003_thumb.jpg
5,5,master/10364_0004.tif,web/10364_0004_web.jpg,thumb/10364_0004_thumb.jpg
6,6,master/10364_0005.tif,web/10364_0005_web.jpg,thumb/10364_0005_thumb.jpg
7,7,master/10364_0006.tif,web/10364_0006_web.jpg,thumb/10364_0006_thumb.jpg
8,8,master/10364_0007.tif,web/10364_0007_web.jpg,thumb/10364_0007_thumb.jpg
9,9,master/10364_0008.tif,web/10364_0008_web.jpg,thumb/10364_0008_thumb.jpg
10,10,master/10364_0009.tif,web/10364_0009_web.jpg,thumb/10364_0009_thumb.jpg
