postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front cover,master/6576_0000.tif,web/6576_0000_web.jpg,thumb/6576_0000_thumb.jpg
2,Inside front cover,master/6576_0001.tif,web/6576_0001_web.jpg,thumb/6576_0001_thumb.jpg
3,Flyleaf 1 recto,master/6576_0002.tif,web/6576_0002_web.jpg,thumb/6576_0002_thumb.jpg
4,Flyleaf 1 verso,master/6576_0003.tif,web/6576_0003_web.jpg,thumb/6576_0003_thumb.jpg
5,130r,master/6576_0004.tif,web/6576_0004_web.jpg,thumb/6576_0004_thumb.jpg
6,130v,master/6576_0005.tif,web/6576_0005_web.jpg,thumb/6576_0005_thumb.jpg
7,131r,master/6576_0006.tif,web/6576_0006_web.jpg,thumb/6576_0006_thumb.jpg
8,131v,master/6576_0007.tif,web/6576_0007_web.jpg,thumb/6576_0007_thumb.jpg
9,132r,master/6576_0008.tif,web/6576_0008_web.jpg,thumb/6576_0008_thumb.jpg
10,132v,master/6576_0009.tif,web/6576_0009_web.jpg,thumb/6576_0009_thumb.jpg
11,133r,master/6576_0010.tif,web/6576_0010_web.jpg,thumb/6576_0010_thumb.jpg
12,133v,master/6576_0011.tif,web/6576_0011_web.jpg,thumb/6576_0011_thumb.jpg
13,134r,master/6576_0012.tif,web/6576_0012_web.jpg,thumb/6576_0012_thumb.jpg
14,134v,master/6576_0013.tif,web/6576_0013_web.jpg,thumb/6576_0013_thumb.jpg
15,135r,master/6576_0014.tif,web/6576_0014_web.jpg,thumb/6576_0014_thumb.jpg
16,135v,master/6576_0015.tif,web/6576_0015_web.jpg,thumb/6576_0015_thumb.jpg
17,136r,master/6576_0016.tif,web/6576_0016_web.jpg,thumb/6576_0016_thumb.jpg
18,136v,master/6576_0017.tif,web/6576_0017_web.jpg,thumb/6576_0017_thumb.jpg
19,137r,master/6576_0018.tif,web/6576_0018_web.jpg,thumb/6576_0018_thumb.jpg
20,137v,master/6576_0019.tif,web/6576_0019_web.jpg,thumb/6576_0019_thumb.jpg
21,138r,master/6576_0020.tif,web/6576_0020_web.jpg,thumb/6576_0020_thumb.jpg
22,138v,master/6576_0021.tif,web/6576_0021_web.jpg,thumb/6576_0021_thumb.jpg
23,139r,master/6576_0022.tif,web/6576_0022_web.jpg,thumb/6576_0022_thumb.jpg
24,139v,master/6576_0023.tif,web/6576_0023_web.jpg,thumb/6576_0023_thumb.jpg
25,140r,master/6576_0024.tif,web/6576_0024_web.jpg,thumb/6576_0024_thumb.jpg
26,140v,master/6576_0025.tif,web/6576_0025_web.jpg,thumb/6576_0025_thumb.jpg
27,141r,master/6576_0026.tif,web/6576_0026_web.jpg,thumb/6576_0026_thumb.jpg
28,141v,master/6576_0027.tif,web/6576_0027_web.jpg,thumb/6576_0027_thumb.jpg
29,142r,master/6576_0028.tif,web/6576_0028_web.jpg,thumb/6576_0028_thumb.jpg
30,142v,master/6576_0029.tif,web/6576_0029_web.jpg,thumb/6576_0029_thumb.jpg
31,143r,master/6576_0030.tif,web/6576_0030_web.jpg,thumb/6576_0030_thumb.jpg
32,143v,master/6576_0031.tif,web/6576_0031_web.jpg,thumb/6576_0031_thumb.jpg
33,144r,master/6576_0032.tif,web/6576_0032_web.jpg,thumb/6576_0032_thumb.jpg
34,144v,master/6576_0033.tif,web/6576_0033_web.jpg,thumb/6576_0033_thumb.jpg
