postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front cover,master/10175_0000.tif,web/10175_0000_web.jpg,thumb/10175_0000_thumb.jpg
2,Inside front cover,master/10175_0001.tif,web/10175_0001_web.jpg,thumb/10175_0001_thumb.jpg
3,Flyleaf 1 recto,master/10175_0002.tif,web/10175_0002_web.jpg,thumb/10175_0002_thumb.jpg
4,Flyleaf 1 verso,master/10175_0003.tif,web/10175_0003_web.jpg,thumb/10175_0003_thumb.jpg
5,Flyleaf 2 recto,master/10175_0004.tif,web/10175_0004_web.jpg,thumb/10175_0004_thumb.jpg
6,Flyleaf 2 verso,master/10175_0005.tif,web/10175_0005_web.jpg,thumb/10175_0005_thumb.jpg
7,1r,master/10175_0006.tif,web/10175_0006_web.jpg,thumb/10175_0006_thumb.jpg
8,1v,master/10175_0007.tif,web/10175_0007_web.jpg,thumb/10175_0007_thumb.jpg
9,2r,master/10175_0008.tif,web/10175_0008_web.jpg,thumb/10175_0008_thumb.jpg
10,2v,master/10175_0009.tif,web/10175_0009_web.jpg,thumb/10175_0009_thumb.jpg
11,3r,master/10175_0010.tif,web/10175_0010_web.jpg,thumb/10175_0010_thumb.jpg
12,3v,master/10175_0011.tif,web/10175_0011_web.jpg,thumb/10175_0011_thumb.jpg
13,4r,master/10175_0012.tif,web/10175_0012_web.jpg,thumb/10175_0012_thumb.jpg
14,4v,master/10175_0013.tif,web/10175_0013_web.jpg,thumb/10175_0013_thumb.jpg
15,5r,master/10175_0014.tif,web/10175_0014_web.jpg,thumb/10175_0014_thumb.jpg
16,5v,master/10175_0015.tif,web/10175_0015_web.jpg,thumb/10175_0015_thumb.jpg
17,6r,master/10175_0016.tif,web/10175_0016_web.jpg,thumb/10175_0016_thumb.jpg
18,6v,master/10175_0017.tif,web/10175_0017_web.jpg,thumb/10175_0017_thumb.jpg
19,7r,master/10175_0018.tif,web/10175_0018_web.jpg,thumb/10175_0018_thumb.jpg
20,7v,master/10175_0019.tif,web/10175_0019_web.jpg,thumb/10175_0019_thumb.jpg
21,8r,master/10175_0020.tif,web/10175_0020_web.jpg,thumb/10175_0020_thumb.jpg
22,8v,master/10175_0021.tif,web/10175_0021_web.jpg,thumb/10175_0021_thumb.jpg
23,9r,master/10175_0022.tif,web/10175_0022_web.jpg,thumb/10175_0022_thumb.jpg
24,9v,master/10175_0023.tif,web/10175_0023_web.jpg,thumb/10175_0023_thumb.jpg
25,10r,master/10175_0024.tif,web/10175_0024_web.jpg,thumb/10175_0024_thumb.jpg
26,10v,master/10175_0025.tif,web/10175_0025_web.jpg,thumb/10175_0025_thumb.jpg
27,11r,master/10175_0026.tif,web/10175_0026_web.jpg,thumb/10175_0026_thumb.jpg
28,11v,master/10175_0027.tif,web/10175_0027_web.jpg,thumb/10175_0027_thumb.jpg
29,12r,master/10175_0028.tif,web/10175_0028_web.jpg,thumb/10175_0028_thumb.jpg
30,12v,master/10175_0029.tif,web/10175_0029_web.jpg,thumb/10175_0029_thumb.jpg
31,13r,master/10175_0030.tif,web/10175_0030_web.jpg,thumb/10175_0030_thumb.jpg
32,13v,master/10175_0031.tif,web/10175_0031_web.jpg,thumb/10175_0031_thumb.jpg
33,14r,master/10175_0032.tif,web/10175_0032_web.jpg,thumb/10175_0032_thumb.jpg
34,14v,master/10175_0033.tif,web/10175_0033_web.jpg,thumb/10175_0033_thumb.jpg
35,15r,master/10175_0034.tif,web/10175_0034_web.jpg,thumb/10175_0034_thumb.jpg
36,15v,master/10175_0035.tif,web/10175_0035_web.jpg,thumb/10175_0035_thumb.jpg
37,16r,master/10175_0036.tif,web/10175_0036_web.jpg,thumb/10175_0036_thumb.jpg
38,16v,master/10175_0037.tif,web/10175_0037_web.jpg,thumb/10175_0037_thumb.jpg
39,17r,master/10175_0038.tif,web/10175_0038_web.jpg,thumb/10175_0038_thumb.jpg
40,17v,master/10175_0039.tif,web/10175_0039_web.jpg,thumb/10175_0039_thumb.jpg
41,18r,master/10175_0040.tif,web/10175_0040_web.jpg,thumb/10175_0040_thumb.jpg
42,18v,master/10175_0041.tif,web/10175_0041_web.jpg,thumb/10175_0041_thumb.jpg
43,19r,master/10175_0042.tif,web/10175_0042_web.jpg,thumb/10175_0042_thumb.jpg
44,19v,master/10175_0043.tif,web/10175_0043_web.jpg,thumb/10175_0043_thumb.jpg
45,20r,master/10175_0044.tif,web/10175_0044_web.jpg,thumb/10175_0044_thumb.jpg
46,20v,master/10175_0045.tif,web/10175_0045_web.jpg,thumb/10175_0045_thumb.jpg
47,21r,master/10175_0046.tif,web/10175_0046_web.jpg,thumb/10175_0046_thumb.jpg
48,21v,master/10175_0047.tif,web/10175_0047_web.jpg,thumb/10175_0047_thumb.jpg
49,22r,master/10175_0048.tif,web/10175_0048_web.jpg,thumb/10175_0048_thumb.jpg
50,22v,master/10175_0049.tif,web/10175_0049_web.jpg,thumb/10175_0049_thumb.jpg
51,23r,master/10175_0050.tif,web/10175_0050_web.jpg,thumb/10175_0050_thumb.jpg
52,23v,master/10175_0051.tif,web/10175_0051_web.jpg,thumb/10175_0051_thumb.jpg
53,24r,master/10175_0052.tif,web/10175_0052_web.jpg,thumb/10175_0052_thumb.jpg
54,24v,master/10175_0053.tif,web/10175_0053_web.jpg,thumb/10175_0053_thumb.jpg
55,25r,master/10175_0054.tif,web/10175_0054_web.jpg,thumb/10175_0054_thumb.jpg
56,25v,master/10175_0055.tif,web/10175_0055_web.jpg,thumb/10175_0055_thumb.jpg
57,26r,master/10175_0056.tif,web/10175_0056_web.jpg,thumb/10175_0056_thumb.jpg
58,26v,master/10175_0057.tif,web/10175_0057_web.jpg,thumb/10175_0057_thumb.jpg
59,27r,master/10175_0058.tif,web/10175_0058_web.jpg,thumb/10175_0058_thumb.jpg
60,27v,master/10175_0059.tif,web/10175_0059_web.jpg,thumb/10175_0059_thumb.jpg
61,28r,master/10175_0060.tif,web/10175_0060_web.jpg,thumb/10175_0060_thumb.jpg
62,28v,master/10175_0061.tif,web/10175_0061_web.jpg,thumb/10175_0061_thumb.jpg
63,29r,master/10175_0062.tif,web/10175_0062_web.jpg,thumb/10175_0062_thumb.jpg
64,29v,master/10175_0063.tif,web/10175_0063_web.jpg,thumb/10175_0063_thumb.jpg
65,30r,master/10175_0064.tif,web/10175_0064_web.jpg,thumb/10175_0064_thumb.jpg
66,30v,master/10175_0065.tif,web/10175_0065_web.jpg,thumb/10175_0065_thumb.jpg
67,31r,master/10175_0066.tif,web/10175_0066_web.jpg,thumb/10175_0066_thumb.jpg
68,31v,master/10175_0067.tif,web/10175_0067_web.jpg,thumb/10175_0067_thumb.jpg
69,32r,master/10175_0068.tif,web/10175_0068_web.jpg,thumb/10175_0068_thumb.jpg
70,32v,master/10175_0069.tif,web/10175_0069_web.jpg,thumb/10175_0069_thumb.jpg
71,33r,master/10175_0070.tif,web/10175_0070_web.jpg,thumb/10175_0070_thumb.jpg
