postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Upper cover. outside,master/11237_0000.tif,web/11237_0000_web.jpg,thumb/11237_0000_thumb.jpg
2,Upper cover. inside,master/11237_0001.tif,web/11237_0001_web.jpg,thumb/11237_0001_thumb.jpg
3,1. recto,master/11237_0002.tif,web/11237_0002_web.jpg,thumb/11237_0002_thumb.jpg
4,1. verso,master/11237_0003.tif,web/11237_0003_web.jpg,thumb/11237_0003_thumb.jpg
5,f. 1. a,master/11237_0004.tif,web/11237_0004_web.jpg,thumb/11237_0004_thumb.jpg
6,f. 1. b,master/11237_0005.tif,web/11237_0005_web.jpg,thumb/11237_0005_thumb.jpg
7,f. 2. a,master/11237_0006.tif,web/11237_0006_web.jpg,thumb/11237_0006_thumb.jpg
8,f. 2. b,master/11237_0007.tif,web/11237_0007_web.jpg,thumb/11237_0007_thumb.jpg
9,f. 3. a,master/11237_0008.tif,web/11237_0008_web.jpg,thumb/11237_0008_thumb.jpg
10,f. 3. b,master/11237_0009.tif,web/11237_0009_web.jpg,thumb/11237_0009_thumb.jpg
11,f. 4. a,master/11237_0010.tif,web/11237_0010_web.jpg,thumb/11237_0010_thumb.jpg
12,f. 4. b,master/11237_0011.tif,web/11237_0011_web.jpg,thumb/11237_0011_thumb.jpg
13,f. 5. a,master/11237_0012.tif,web/11237_0012_web.jpg,thumb/11237_0012_thumb.jpg
14,f. 5. b,master/11237_0013.tif,web/11237_0013_web.jpg,thumb/11237_0013_thumb.jpg
15,f. 6. a,master/11237_0014.tif,web/11237_0014_web.jpg,thumb/11237_0014_thumb.jpg
16,f. 6. b,master/11237_0015.tif,web/11237_0015_web.jpg,thumb/11237_0015_thumb.jpg
17,f. 7. a,master/11237_0016.tif,web/11237_0016_web.jpg,thumb/11237_0016_thumb.jpg
18,f. 7. b,master/11237_0017.tif,web/11237_0017_web.jpg,thumb/11237_0017_thumb.jpg
19,f. 8. a,master/11237_0018.tif,web/11237_0018_web.jpg,thumb/11237_0018_thumb.jpg
20,f. 8. b,master/11237_0019.tif,web/11237_0019_web.jpg,thumb/11237_0019_thumb.jpg
21,f. 9. a,master/11237_0020.tif,web/11237_0020_web.jpg,thumb/11237_0020_thumb.jpg
22,f. 9. b,master/11237_0021.tif,web/11237_0021_web.jpg,thumb/11237_0021_thumb.jpg
23,f. 10. a,master/11237_0022.tif,web/11237_0022_web.jpg,thumb/11237_0022_thumb.jpg
24,f. 10. b,master/11237_0023.tif,web/11237_0023_web.jpg,thumb/11237_0023_thumb.jpg
25,f. 11. a,master/11237_0024.tif,web/11237_0024_web.jpg,thumb/11237_0024_thumb.jpg
26,f. 11. b,master/11237_0025.tif,web/11237_0025_web.jpg,thumb/11237_0025_thumb.jpg
27,f. 12. a,master/11237_0026.tif,web/11237_0026_web.jpg,thumb/11237_0026_thumb.jpg
28,f. 12. b,master/11237_0027.tif,web/11237_0027_web.jpg,thumb/11237_0027_thumb.jpg
29,f. 13. a,master/11237_0028.tif,web/11237_0028_web.jpg,thumb/11237_0028_thumb.jpg
30,f. 13. b,master/11237_0029.tif,web/11237_0029_web.jpg,thumb/11237_0029_thumb.jpg
31,f. 14. a,master/11237_0030.tif,web/11237_0030_web.jpg,thumb/11237_0030_thumb.jpg
32,f. 14. b,master/11237_0031.tif,web/11237_0031_web.jpg,thumb/11237_0031_thumb.jpg
33,f. 15. a,master/11237_0032.tif,web/11237_0032_web.jpg,thumb/11237_0032_thumb.jpg
34,f. 15. b,master/11237_0033.tif,web/11237_0033_web.jpg,thumb/11237_0033_thumb.jpg
35,f. 16. a,master/11237_0034.tif,web/11237_0034_web.jpg,thumb/11237_0034_thumb.jpg
36,f. 16. b,master/11237_0035.tif,web/11237_0035_web.jpg,thumb/11237_0035_thumb.jpg
37,f. 17. a,master/11237_0036.tif,web/11237_0036_web.jpg,thumb/11237_0036_thumb.jpg
38,f. 17. b,master/11237_0037.tif,web/11237_0037_web.jpg,thumb/11237_0037_thumb.jpg
39,f. 18. a,master/11237_0038.tif,web/11237_0038_web.jpg,thumb/11237_0038_thumb.jpg
40,f. 18. b,master/11237_0039.tif,web/11237_0039_web.jpg,thumb/11237_0039_thumb.jpg
41,f. 19. a,master/11237_0040.tif,web/11237_0040_web.jpg,thumb/11237_0040_thumb.jpg
42,f. 19. b,master/11237_0041.tif,web/11237_0041_web.jpg,thumb/11237_0041_thumb.jpg
43,f. 20. a,master/11237_0042.tif,web/11237_0042_web.jpg,thumb/11237_0042_thumb.jpg
44,f. 20. b,master/11237_0043.tif,web/11237_0043_web.jpg,thumb/11237_0043_thumb.jpg
45,f. 21. a,master/11237_0044.tif,web/11237_0044_web.jpg,thumb/11237_0044_thumb.jpg
46,f. 21. b,master/11237_0045.tif,web/11237_0045_web.jpg,thumb/11237_0045_thumb.jpg
47,f. 22. a,master/11237_0046.tif,web/11237_0046_web.jpg,thumb/11237_0046_thumb.jpg
48,f. 22. b,master/11237_0047.tif,web/11237_0047_web.jpg,thumb/11237_0047_thumb.jpg
49,f. 23. a,master/11237_0048.tif,web/11237_0048_web.jpg,thumb/11237_0048_thumb.jpg
50,f. 23. b,master/11237_0049.tif,web/11237_0049_web.jpg,thumb/11237_0049_thumb.jpg
51,f. 24. a,master/11237_0050.tif,web/11237_0050_web.jpg,thumb/11237_0050_thumb.jpg
52,f. 24. b,master/11237_0051.tif,web/11237_0051_web.jpg,thumb/11237_0051_thumb.jpg
53,f. 25. a,master/11237_0052.tif,web/11237_0052_web.jpg,thumb/11237_0052_thumb.jpg
54,f. 25. b,master/11237_0053.tif,web/11237_0053_web.jpg,thumb/11237_0053_thumb.jpg
55,f. 26. a,master/11237_0054.tif,web/11237_0054_web.jpg,thumb/11237_0054_thumb.jpg
56,f. 26. b,master/11237_0055.tif,web/11237_0055_web.jpg,thumb/11237_0055_thumb.jpg
57,f. 27. a,master/11237_0056.tif,web/11237_0056_web.jpg,thumb/11237_0056_thumb.jpg
58,f. 27. b,master/11237_0057.tif,web/11237_0057_web.jpg,thumb/11237_0057_thumb.jpg
