postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,i,master/11620_0000.tif,web/11620_0000_web.jpg,thumb/11620_0000_thumb.jpg
2,ii,master/11620_0001.tif,web/11620_0001_web.jpg,thumb/11620_0001_thumb.jpg
3,iii,master/11620_0002.tif,web/11620_0002_web.jpg,thumb/11620_0002_thumb.jpg
4,iv,master/11620_0003.tif,web/11620_0003_web.jpg,thumb/11620_0003_thumb.jpg
5,v,master/11620_0004.tif,web/11620_0004_web.jpg,thumb/11620_0004_thumb.jpg
6,vi,master/11620_0005.tif,web/11620_0005_web.jpg,thumb/11620_0005_thumb.jpg
7,vii,master/11620_0006.tif,web/11620_0006_web.jpg,thumb/11620_0006_thumb.jpg
8,viii,master/11620_0007.tif,web/11620_0007_web.jpg,thumb/11620_0007_thumb.jpg
9,1r,master/11620_0008.tif,web/11620_0008_web.jpg,thumb/11620_0008_thumb.jpg
10,1v,master/11620_0009.tif,web/11620_0009_web.jpg,thumb/11620_0009_thumb.jpg
11,2r,master/11620_0010.tif,web/11620_0010_web.jpg,thumb/11620_0010_thumb.jpg
12,2v,master/11620_0011.tif,web/11620_0011_web.jpg,thumb/11620_0011_thumb.jpg
13,3r,master/11620_0012.tif,web/11620_0012_web.jpg,thumb/11620_0012_thumb.jpg
14,3v,master/11620_0013.tif,web/11620_0013_web.jpg,thumb/11620_0013_thumb.jpg
15,5r,master/11620_0014.tif,web/11620_0014_web.jpg,thumb/11620_0014_thumb.jpg
16,5v,master/11620_0015.tif,web/11620_0015_web.jpg,thumb/11620_0015_thumb.jpg
17,6r,master/11620_0016.tif,web/11620_0016_web.jpg,thumb/11620_0016_thumb.jpg
18,6v,master/11620_0017.tif,web/11620_0017_web.jpg,thumb/11620_0017_thumb.jpg
19,7r,master/11620_0018.tif,web/11620_0018_web.jpg,thumb/11620_0018_thumb.jpg
20,7v,master/11620_0019.tif,web/11620_0019_web.jpg,thumb/11620_0019_thumb.jpg
21,8r,master/11620_0020.tif,web/11620_0020_web.jpg,thumb/11620_0020_thumb.jpg
22,8v,master/11620_0021.tif,web/11620_0021_web.jpg,thumb/11620_0021_thumb.jpg
23,9r,master/11620_0022.tif,web/11620_0022_web.jpg,thumb/11620_0022_thumb.jpg
24,9v,master/11620_0023.tif,web/11620_0023_web.jpg,thumb/11620_0023_thumb.jpg
25,10r,master/11620_0024.tif,web/11620_0024_web.jpg,thumb/11620_0024_thumb.jpg
26,10v,master/11620_0025.tif,web/11620_0025_web.jpg,thumb/11620_0025_thumb.jpg
27,11r,master/11620_0026.tif,web/11620_0026_web.jpg,thumb/11620_0026_thumb.jpg
28,11v,master/11620_0027.tif,web/11620_0027_web.jpg,thumb/11620_0027_thumb.jpg
29,12r,master/11620_0028.tif,web/11620_0028_web.jpg,thumb/11620_0028_thumb.jpg
30,12v,master/11620_0029.tif,web/11620_0029_web.jpg,thumb/11620_0029_thumb.jpg
31,13r,master/11620_0030.tif,web/11620_0030_web.jpg,thumb/11620_0030_thumb.jpg
32,13v,master/11620_0031.tif,web/11620_0031_web.jpg,thumb/11620_0031_thumb.jpg
33,14r,master/11620_0032.tif,web/11620_0032_web.jpg,thumb/11620_0032_thumb.jpg
34,14v,master/11620_0033.tif,web/11620_0033_web.jpg,thumb/11620_0033_thumb.jpg
35,15r,master/11620_0034.tif,web/11620_0034_web.jpg,thumb/11620_0034_thumb.jpg
36,15v,master/11620_0035.tif,web/11620_0035_web.jpg,thumb/11620_0035_thumb.jpg
37,16r,master/11620_0036.tif,web/11620_0036_web.jpg,thumb/11620_0036_thumb.jpg
38,16v,master/11620_0037.tif,web/11620_0037_web.jpg,thumb/11620_0037_thumb.jpg
39,17r,master/11620_0038.tif,web/11620_0038_web.jpg,thumb/11620_0038_thumb.jpg
40,17v,master/11620_0039.tif,web/11620_0039_web.jpg,thumb/11620_0039_thumb.jpg
41,18r,master/11620_0040.tif,web/11620_0040_web.jpg,thumb/11620_0040_thumb.jpg
42,18v,master/11620_0041.tif,web/11620_0041_web.jpg,thumb/11620_0041_thumb.jpg
43,19r,master/11620_0042.tif,web/11620_0042_web.jpg,thumb/11620_0042_thumb.jpg
44,19v,master/11620_0043.tif,web/11620_0043_web.jpg,thumb/11620_0043_thumb.jpg
45,20r,master/11620_0044.tif,web/11620_0044_web.jpg,thumb/11620_0044_thumb.jpg
46,20v,master/11620_0045.tif,web/11620_0045_web.jpg,thumb/11620_0045_thumb.jpg
