postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,1r,master/11524_0000.tif,web/11524_0000_web.jpg,thumb/11524_0000_thumb.jpg
2,1v,master/11524_0001.tif,web/11524_0001_web.jpg,thumb/11524_0001_thumb.jpg
3,2r,master/11524_0002.tif,web/11524_0002_web.jpg,thumb/11524_0002_thumb.jpg
4,2v,master/11524_0003.tif,web/11524_0003_web.jpg,thumb/11524_0003_thumb.jpg
5,3r,master/11524_0004.tif,web/11524_0004_web.jpg,thumb/11524_0004_thumb.jpg
6,3v,master/11524_0005.tif,web/11524_0005_web.jpg,thumb/11524_0005_thumb.jpg
7,5r,master/11524_0006.tif,web/11524_0006_web.jpg,thumb/11524_0006_thumb.jpg
8,5v,master/11524_0007.tif,web/11524_0007_web.jpg,thumb/11524_0007_thumb.jpg
9,6r,master/11524_0008.tif,web/11524_0008_web.jpg,thumb/11524_0008_thumb.jpg
10,6v,master/11524_0009.tif,web/11524_0009_web.jpg,thumb/11524_0009_thumb.jpg
11,7r,master/11524_0010.tif,web/11524_0010_web.jpg,thumb/11524_0010_thumb.jpg
12,7v,master/11524_0011.tif,web/11524_0011_web.jpg,thumb/11524_0011_thumb.jpg
13,8r,master/11524_0012.tif,web/11524_0012_web.jpg,thumb/11524_0012_thumb.jpg
14,8v,master/11524_0013.tif,web/11524_0013_web.jpg,thumb/11524_0013_thumb.jpg
15,9r,master/11524_0014.tif,web/11524_0014_web.jpg,thumb/11524_0014_thumb.jpg
16,9v,master/11524_0015.tif,web/11524_0015_web.jpg,thumb/11524_0015_thumb.jpg
17,10r,master/11524_0016.tif,web/11524_0016_web.jpg,thumb/11524_0016_thumb.jpg
18,10v,master/11524_0017.tif,web/11524_0017_web.jpg,thumb/11524_0017_thumb.jpg
19,11r,master/11524_0018.tif,web/11524_0018_web.jpg,thumb/11524_0018_thumb.jpg
20,11v,master/11524_0019.tif,web/11524_0019_web.jpg,thumb/11524_0019_thumb.jpg
21,12r,master/11524_0020.tif,web/11524_0020_web.jpg,thumb/11524_0020_thumb.jpg
22,12v,master/11524_0021.tif,web/11524_0021_web.jpg,thumb/11524_0021_thumb.jpg
23,13r,master/11524_0022.tif,web/11524_0022_web.jpg,thumb/11524_0022_thumb.jpg
24,13v,master/11524_0023.tif,web/11524_0023_web.jpg,thumb/11524_0023_thumb.jpg
25,14r,master/11524_0024.tif,web/11524_0024_web.jpg,thumb/11524_0024_thumb.jpg
26,14v,master/11524_0025.tif,web/11524_0025_web.jpg,thumb/11524_0025_thumb.jpg
27,15r,master/11524_0026.tif,web/11524_0026_web.jpg,thumb/11524_0026_thumb.jpg
28,15v,master/11524_0027.tif,web/11524_0027_web.jpg,thumb/11524_0027_thumb.jpg
