postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,1,master/10032_0000.tif,web/10032_0000_web.jpg,thumb/10032_0000_thumb.jpg
2,2,master/10032_0001.tif,web/10032_0001_web.jpg,thumb/10032_0001_thumb.jpg
3,3,master/10032_0002.tif,web/10032_0002_web.jpg,thumb/10032_0002_thumb.jpg
4,4,master/10032_0003.tif,web/10032_0003_web.jpg,thumb/10032_0003_thumb.jpg
5,5,master/10032_0004.tif,web/10032_0004_web.jpg,thumb/10032_0004_thumb.jpg
6,6,master/10032_0005.tif,web/10032_0005_web.jpg,thumb/10032_0005_thumb.jpg
7,7,master/10032_0006.tif,web/10032_0006_web.jpg,thumb/10032_0006_thumb.jpg
8,8,master/10032_0007.tif,web/10032_0007_web.jpg,thumb/10032_0007_thumb.jpg
9,9,master/10032_0008.tif,web/10032_0008_web.jpg,thumb/10032_0008_thumb.jpg
10,10,master/10032_0009.tif,web/10032_0009_web.jpg,thumb/10032_0009_thumb.jpg
11,11,master/10032_0010.tif,web/10032_0010_web.jpg,thumb/10032_0010_thumb.jpg
12,12,master/10032_0011.tif,web/10032_0011_web.jpg,thumb/10032_0011_thumb.jpg
13,13,master/10032_0012.tif,web/10032_0012_web.jpg,thumb/10032_0012_thumb.jpg
14,14,master/10032_0013.tif,web/10032_0013_web.jpg,thumb/10032_0013_thumb.jpg
15,15,master/10032_0014.tif,web/10032_0014_web.jpg,thumb/10032_0014_thumb.jpg
16,16,master/10032_0015.tif,web/10032_0015_web.jpg,thumb/10032_0015_thumb.jpg
17,17,master/10032_0016.tif,web/10032_0016_web.jpg,thumb/10032_0016_thumb.jpg
18,18,master/10032_0017.tif,web/10032_0017_web.jpg,thumb/10032_0017_thumb.jpg
19,19,master/10032_0018.tif,web/10032_0018_web.jpg,thumb/10032_0018_thumb.jpg
20,20,master/10032_0019.tif,web/10032_0019_web.jpg,thumb/10032_0019_thumb.jpg
21,21,master/10032_0020.tif,web/10032_0020_web.jpg,thumb/10032_0020_thumb.jpg
22,22,master/10032_0021.tif,web/10032_0021_web.jpg,thumb/10032_0021_thumb.jpg
23,23,master/10032_0022.tif,web/10032_0022_web.jpg,thumb/10032_0022_thumb.jpg
24,24,master/10032_0023.tif,web/10032_0023_web.jpg,thumb/10032_0023_thumb.jpg
25,25,master/10032_0024.tif,web/10032_0024_web.jpg,thumb/10032_0024_thumb.jpg
26,26,master/10032_0025.tif,web/10032_0025_web.jpg,thumb/10032_0025_thumb.jpg
27,27,master/10032_0026.tif,web/10032_0026_web.jpg,thumb/10032_0026_thumb.jpg
28,28,master/10032_0027.tif,web/10032_0027_web.jpg,thumb/10032_0027_thumb.jpg
29,29,master/10032_0028.tif,web/10032_0028_web.jpg,thumb/10032_0028_thumb.jpg
30,30,master/10032_0029.tif,web/10032_0029_web.jpg,thumb/10032_0029_thumb.jpg
31,31,master/10032_0030.tif,web/10032_0030_web.jpg,thumb/10032_0030_thumb.jpg
32,32,master/10032_0031.tif,web/10032_0031_web.jpg,thumb/10032_0031_thumb.jpg
33,33,master/10032_0032.tif,web/10032_0032_web.jpg,thumb/10032_0032_thumb.jpg
34,34,master/10032_0033.tif,web/10032_0033_web.jpg,thumb/10032_0033_thumb.jpg
35,35,master/10032_0034.tif,web/10032_0034_web.jpg,thumb/10032_0034_thumb.jpg
36,36,master/10032_0035.tif,web/10032_0035_web.jpg,thumb/10032_0035_thumb.jpg
37,37,master/10032_0036.tif,web/10032_0036_web.jpg,thumb/10032_0036_thumb.jpg
38,38,master/10032_0037.tif,web/10032_0037_web.jpg,thumb/10032_0037_thumb.jpg
39,39,master/10032_0038.tif,web/10032_0038_web.jpg,thumb/10032_0038_thumb.jpg
40,40,master/10032_0039.tif,web/10032_0039_web.jpg,thumb/10032_0039_thumb.jpg
41,41,master/10032_0040.tif,web/10032_0040_web.jpg,thumb/10032_0040_thumb.jpg
42,42,master/10032_0041.tif,web/10032_0041_web.jpg,thumb/10032_0041_thumb.jpg
43,43,master/10032_0042.tif,web/10032_0042_web.jpg,thumb/10032_0042_thumb.jpg
44,44,master/10032_0043.tif,web/10032_0043_web.jpg,thumb/10032_0043_thumb.jpg
45,45,master/10032_0044.tif,web/10032_0044_web.jpg,thumb/10032_0044_thumb.jpg
46,46,master/10032_0045.tif,web/10032_0045_web.jpg,thumb/10032_0045_thumb.jpg
47,47,master/10032_0046.tif,web/10032_0046_web.jpg,thumb/10032_0046_thumb.jpg
48,48,master/10032_0047.tif,web/10032_0047_web.jpg,thumb/10032_0047_thumb.jpg
49,49,master/10032_0048.tif,web/10032_0048_web.jpg,thumb/10032_0048_thumb.jpg
50,50,master/10032_0049.tif,web/10032_0049_web.jpg,thumb/10032_0049_thumb.jpg
51,51,master/10032_0050.tif,web/10032_0050_web.jpg,thumb/10032_0050_thumb.jpg
52,52,master/10032_0051.tif,web/10032_0051_web.jpg,thumb/10032_0051_thumb.jpg
53,53,master/10032_0052.tif,web/10032_0052_web.jpg,thumb/10032_0052_thumb.jpg
54,54,master/10032_0053.tif,web/10032_0053_web.jpg,thumb/10032_0053_thumb.jpg
55,55,master/10032_0054.tif,web/10032_0054_web.jpg,thumb/10032_0054_thumb.jpg
56,56,master/10032_0055.tif,web/10032_0055_web.jpg,thumb/10032_0055_thumb.jpg
57,57,master/10032_0056.tif,web/10032_0056_web.jpg,thumb/10032_0056_thumb.jpg
58,58,master/10032_0057.tif,web/10032_0057_web.jpg,thumb/10032_0057_thumb.jpg
59,59,master/10032_0058.tif,web/10032_0058_web.jpg,thumb/10032_0058_thumb.jpg
