postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,1r,master/5490_0000.tif,web/5490_0000_web.jpg,thumb/5490_0000_thumb.jpg
2,1v,master/5490_0001.tif,web/5490_0001_web.jpg,thumb/5490_0001_thumb.jpg
3,2r,master/5490_0002.tif,web/5490_0002_web.jpg,thumb/5490_0002_thumb.jpg
4,2v,master/5490_0003.tif,web/5490_0003_web.jpg,thumb/5490_0003_thumb.jpg
5,3r,master/5490_0004.tif,web/5490_0004_web.jpg,thumb/5490_0004_thumb.jpg
6,3v,master/5490_0005.tif,web/5490_0005_web.jpg,thumb/5490_0005_thumb.jpg
7,4r,master/5490_0006.tif,web/5490_0006_web.jpg,thumb/5490_0006_thumb.jpg
8,4v,master/5490_0007.tif,web/5490_0007_web.jpg,thumb/5490_0007_thumb.jpg
9,5r,master/5490_0008.tif,web/5490_0008_web.jpg,thumb/5490_0008_thumb.jpg
10,5v,master/5490_0009.tif,web/5490_0009_web.jpg,thumb/5490_0009_thumb.jpg
11,6r,master/5490_0010.tif,web/5490_0010_web.jpg,thumb/5490_0010_thumb.jpg
12,6v,master/5490_0011.tif,web/5490_0011_web.jpg,thumb/5490_0011_thumb.jpg
13,7r,master/5490_0012.tif,web/5490_0012_web.jpg,thumb/5490_0012_thumb.jpg
14,7v,master/5490_0013.tif,web/5490_0013_web.jpg,thumb/5490_0013_thumb.jpg
15,8r,master/5490_0014.tif,web/5490_0014_web.jpg,thumb/5490_0014_thumb.jpg
16,8v,master/5490_0015.tif,web/5490_0015_web.jpg,thumb/5490_0015_thumb.jpg
