postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front cover,master/11995_0000.tif,web/11995_0000_web.jpg,thumb/11995_0000_thumb.jpg
2,Flyleaf 1v,master/11995_0001.tif,web/11995_0001_web.jpg,thumb/11995_0001_thumb.jpg
3,p. 1,master/11995_0002.tif,web/11995_0002_web.jpg,thumb/11995_0002_thumb.jpg
4,p. 2,master/11995_0003.tif,web/11995_0003_web.jpg,thumb/11995_0003_thumb.jpg
5,p. 3,master/11995_0004.tif,web/11995_0004_web.jpg,thumb/11995_0004_thumb.jpg
6,p. 4,master/11995_0005.tif,web/11995_0005_web.jpg,thumb/11995_0005_thumb.jpg
7,p. 5,master/11995_0006.tif,web/11995_0006_web.jpg,thumb/11995_0006_thumb.jpg
8,p. 6,master/11995_0007.tif,web/11995_0007_web.jpg,thumb/11995_0007_thumb.jpg
9,p. 7,master/11995_0008.tif,web/11995_0008_web.jpg,thumb/11995_0008_thumb.jpg
10,p. 8,master/11995_0009.tif,web/11995_0009_web.jpg,thumb/11995_0009_thumb.jpg
11,p. 9,master/11995_0010.tif,web/11995_0010_web.jpg,thumb/11995_0010_thumb.jpg
12,p. 10,master/11995_0011.tif,web/11995_0011_web.jpg,thumb/11995_0011_thumb.jpg
13,p. 11,master/11995_0012.tif,web/11995_0012_web.jpg,thumb/11995_0012_thumb.jpg
14,p. 12,master/11995_0013.tif,web/11995_0013_web.jpg,thumb/11995_0013_thumb.jpg
15,p. 13,master/11995_0014.tif,web/11995_0014_web.jpg,thumb/11995_0014_thumb.jpg
16,p. 14,master/11995_0015.tif,web/11995_0015_web.jpg,thumb/11995_0015_thumb.jpg
17,p. 15,master/11995_0016.tif,web/11995_0016_web.jpg,thumb/11995_0016_thumb.jpg
18,p. 16,master/11995_0017.tif,web/11995_0017_web.jpg,thumb/11995_0017_thumb.jpg
19,p. 1,master/11995_0018.tif,web/11995_0018_web.jpg,thumb/11995_0018_thumb.jpg
20,p. 2,master/11995_0019.tif,web/11995_0019_web.jpg,thumb/11995_0019_thumb.jpg
21,p. 3,master/11995_0020.tif,web/11995_0020_web.jpg,thumb/11995_0020_thumb.jpg
22,p. 4,master/11995_0021.tif,web/11995_0021_web.jpg,thumb/11995_0021_thumb.jpg
23,p. 5,master/11995_0022.tif,web/11995_0022_web.jpg,thumb/11995_0022_thumb.jpg
24,p. 6,master/11995_0023.tif,web/11995_0023_web.jpg,thumb/11995_0023_thumb.jpg
25,p. 7,master/11995_0024.tif,web/11995_0024_web.jpg,thumb/11995_0024_thumb.jpg
26,p. 8,master/11995_0025.tif,web/11995_0025_web.jpg,thumb/11995_0025_thumb.jpg
27,p. 9,master/11995_0026.tif,web/11995_0026_web.jpg,thumb/11995_0026_thumb.jpg
28,p. 10,master/11995_0027.tif,web/11995_0027_web.jpg,thumb/11995_0027_thumb.jpg
29,p. 11,master/11995_0028.tif,web/11995_0028_web.jpg,thumb/11995_0028_thumb.jpg
30,p. 12,master/11995_0029.tif,web/11995_0029_web.jpg,thumb/11995_0029_thumb.jpg
31,p. 13,master/11995_0030.tif,web/11995_0030_web.jpg,thumb/11995_0030_thumb.jpg
32,p. 14,master/11995_0031.tif,web/11995_0031_web.jpg,thumb/11995_0031_thumb.jpg
33,Inside back cover,master/11995_0032.tif,web/11995_0032_web.jpg,thumb/11995_0032_thumb.jpg
34,Back cover,master/11995_0033.tif,web/11995_0033_web.jpg,thumb/11995_0033_thumb.jpg
35,Color card,master/11995_0034.tif,web/11995_0034_web.jpg,thumb/11995_0034_thumb.jpg
