postion,page_no,archival_tiff,web_jpeg,thumbnail_jpeg
1,Front cover,master/9257_0000.tif,web/9257_0000_web.jpg,thumb/9257_0000_thumb.jpg
2,Inside front cover,master/9257_0001.tif,web/9257_0001_web.jpg,thumb/9257_0001_thumb.jpg
3,p. 1,master/9257_0002.tif,web/9257_0002_web.jpg,thumb/9257_0002_thumb.jpg
4,p. 2,master/9257_0003.tif,web/9257_0003_web.jpg,thumb/9257_0003_thumb.jpg
5,p. 3,master/9257_0004.tif,web/9257_0004_web.jpg,thumb/9257_0004_thumb.jpg
6,p. 4,master/9257_0005.tif,web/9257_0005_web.jpg,thumb/9257_0005_thumb.jpg
7,p. 5,master/9257_0006.tif,web/9257_0006_web.jpg,thumb/9257_0006_thumb.jpg
8,p. 6,master/9257_0007.tif,web/9257_0007_web.jpg,thumb/9257_0007_thumb.jpg
9,p. 7,master/9257_0008.tif,web/9257_0008_web.jpg,thumb/9257_0008_thumb.jpg
10,p. 8,master/9257_0009.tif,web/9257_0009_web.jpg,thumb/9257_0009_thumb.jpg
11,p. 9,master/9257_0010.tif,web/9257_0010_web.jpg,thumb/9257_0010_thumb.jpg
12,p. 10,master/9257_0011.tif,web/9257_0011_web.jpg,thumb/9257_0011_thumb.jpg
13,p. 11,master/9257_0012.tif,web/9257_0012_web.jpg,thumb/9257_0012_thumb.jpg
14,p. 12,master/9257_0013.tif,web/9257_0013_web.jpg,thumb/9257_0013_thumb.jpg
15,p. 13,master/9257_0014.tif,web/9257_0014_web.jpg,thumb/9257_0014_thumb.jpg
16,p. 14,master/9257_0015.tif,web/9257_0015_web.jpg,thumb/9257_0015_thumb.jpg
17,p. 15,master/9257_0016.tif,web/9257_0016_web.jpg,thumb/9257_0016_thumb.jpg
18,p. 16,master/9257_0017.tif,web/9257_0017_web.jpg,thumb/9257_0017_thumb.jpg
19,p. 17,master/9257_0018.tif,web/9257_0018_web.jpg,thumb/9257_0018_thumb.jpg
20,p. 18,master/9257_0019.tif,web/9257_0019_web.jpg,thumb/9257_0019_thumb.jpg
21,p. 19,master/9257_0020.tif,web/9257_0020_web.jpg,thumb/9257_0020_thumb.jpg
22,Back cover,master/9257_0021.tif,web/9257_0021_web.jpg,thumb/9257_0021_thumb.jpg
